Financial Summary,Appropriated,Adjustment,Allocation,agency
CommPACT Schools,"350,000","-350,000",0,DEPARTMENT OF EDUCATION
Parent Trust Fund Program,"439,823","-439,823",0,DEPARTMENT OF EDUCATION
Regional Vocational-Technical School System,"163,367,535","-6,634,928","156,732,607",DEPARTMENT OF EDUCATION
Commissioner’s Network,"12,121,553","-1,212,155","10,909,398",DEPARTMENT OF EDUCATION
New or Replicated Schools,"388,015","91,985","480,000",DEPARTMENT OF EDUCATION
Bridges to Success,"188,500","-188,500",0,DEPARTMENT OF EDUCATION
K-3 Reading Assessment Pilot,"2,646,200","-264,620","2,381,580",DEPARTMENT OF EDUCATION
Talent Development,"6,095,115","-3,095,115","3,000,000",DEPARTMENT OF EDUCATION
Common Core,"4,126,767","-2,626,767","1,500,000",DEPARTMENT OF EDUCATION
Alternative High School and Adult Reading Incentive Program,"188,500","-188,500",0,DEPARTMENT OF EDUCATION
Special Master,"903,614","-903,614",0,DEPARTMENT OF EDUCATION
School-Based Diversion Initiative,"942,500","-94,250","848,250",DEPARTMENT OF EDUCATION
American School For The Deaf,"9,543,829","-1,212,066","8,331,763",DEPARTMENT OF EDUCATION
Regional Education Services,"606,172","-606,172",0,DEPARTMENT OF EDUCATION
Family Resource Centers,"7,894,843","-3,947,420","3,947,423",DEPARTMENT OF EDUCATION
Charter Schools,"110,835,808","-1,627,808","109,208,000",DEPARTMENT OF EDUCATION
Youth Service Bureau Enhancement,"668,927","-20,068","648,859",DEPARTMENT OF EDUCATION
Child Nutrition State Match,"2,201,390","152,610","2,354,000",DEPARTMENT OF EDUCATION
Health Foods Initiative,"3,985,367","514,633","4,500,000",DEPARTMENT OF EDUCATION
Vocational Agriculture,"10,544,937","-1,054,494","9,490,443",DEPARTMENT OF EDUCATION
Adult Education,"20,383,960",0,"20,383,960",DEPARTMENT OF EDUCATION
Health and Welfare Services Pupils Private Schools,"3,526,579",0,"3,526,579",DEPARTMENT OF EDUCATION
Education Equalization Grants,"2,027,587,120","-515,833,717","1,511,753,403",DEPARTMENT OF EDUCATION
Bilingual Education,"3,164,800",0,"3,164,800",DEPARTMENT OF EDUCATION
Priority School Districts,"42,337,171","-42,337,171",0,DEPARTMENT OF EDUCATION
,,,,DEPARTMENT OF EDUCATION
B-57,,,,DEPARTMENT OF EDUCATION
,,,,DEPARTMENT OF EDUCATION
Young Parents Program,"212,318","-212,318",0,DEPARTMENT OF EDUCATION
Interdistrict Cooperation,"6,353,391","-6,353,391",0,DEPARTMENT OF EDUCATION
School Breakfast Program,"2,225,669","-66,769","2,158,900",DEPARTMENT OF EDUCATION
Excess Cost - Student Based,"135,555,731","55,793,101","191,348,832",DEPARTMENT OF EDUCATION
Youth Service Bureaus,"2,651,516","-53,030","2,598,486",DEPARTMENT OF EDUCATION
Open Choice Program,"40,258,605","-2,167,966","38,090,639",DEPARTMENT OF EDUCATION
Magnet Schools,"313,058,158",0,"313,058,158",DEPARTMENT OF EDUCATION
After School Program,"4,866,695","-2,433,348","2,433,347",DEPARTMENT OF EDUCATION
TOTAL-General Fund,"2,991,600,442","-545,670,263","2,445,930,179",DEPARTMENT OF EDUCATION
TOTAL - ALL FUNDS,"2,991,600,442","-545,670,263","2,445,930,179",DEPARTMENT OF EDUCATION
GENERAL FUND,,,,OFFICE OF EARLY CHILDHOOD
Personal Services,"8,289,321","-497,359","7,791,962",OFFICE OF EARLY CHILDHOOD
Other Expenses,"321,367","90,360","411,727",OFFICE OF EARLY CHILDHOOD
Children's Trust Fund,"11,320,721","-866,950","10,453,771",OFFICE OF EARLY CHILDHOOD
Birth to Three,"24,686,804","6,700,000","31,386,804",OFFICE OF EARLY CHILDHOOD
Community Plans for Early Childhood,"659,734","-659,734",0,OFFICE OF EARLY CHILDHOOD
Improving Early Literacy,"142,500","-142,500",0,OFFICE OF EARLY CHILDHOOD
Evenstart,"451,250","-451,250",0,OFFICE OF EARLY CHILDHOOD
Head Start Services,"5,744,162","-557,184","5,186,978",OFFICE OF EARLY CHILDHOOD
Care4Kids TANF/CCDF,"122,130,084","-7,400,000","114,730,084",OFFICE OF EARLY CHILDHOOD
Child Care Quality Enhancements,"2,894,114","-86,823","2,807,291",OFFICE OF EARLY CHILDHOOD
Early Head Start-Child Care Partnership,"1,165,721","-34,971","1,130,750",OFFICE OF EARLY CHILDHOOD
Early Care and Education,"111,821,921",0,"111,821,921",OFFICE OF EARLY CHILDHOOD
School Readiness Quality Enhancement,"4,172,930","-125,188","4,047,742",OFFICE OF EARLY CHILDHOOD
TOTAL-General Fund,"293,800,629","-4,031,599","289,769,030",OFFICE OF EARLY CHILDHOOD
TOTAL - ALL FUNDS,"293,800,629","-4,031,599","289,769,030",OFFICE OF EARLY CHILDHOOD
GENERAL FUND,,,,STATE LIBRARY
Personal Services,"5,070,637","-50,706","5,019,931",STATE LIBRARY
Other Expenses,"439,868","-26,188","413,680",STATE LIBRARY
State-Wide Digital Library,"1,767,871","-883,935","883,936",STATE LIBRARY
Interlibrary Loan Delivery Service,"284,774","-8,542","276,232",STATE LIBRARY
Legal/Legislative Library Materials,"747,263","-373,631","373,632",STATE LIBRARY
Computer Access,"90,000","-90,000",0,STATE LIBRARY
Support Cooperating Library Service Units,"190,000","-190,000",0,STATE LIBRARY
Connecticard Payments,"806,000","-104,780","701,220",STATE LIBRARY
TOTAL-General Fund,"9,396,413","-1,727,782","7,668,631",STATE LIBRARY
TOTAL - ALL FUNDS,"9,396,413","-1,727,782","7,668,631",STATE LIBRARY
GENERAL FUND,,,,OFFICE OF HIGHER EDUCATION
Personal Services,"1,634,530","-130,762","1,503,768",OFFICE OF HIGHER EDUCATION
Other Expenses,"77,738","-6,218","71,520",OFFICE OF HIGHER EDUCATION
Minority Advancement Program,"1,845,041","-332,107","1,512,934",OFFICE OF HIGHER EDUCATION
Alternate Route to Certification,"47,883","-1,436","46,447",OFFICE OF HIGHER EDUCATION
National Service Act,"268,964","-48,412","220,552",OFFICE OF HIGHER EDUCATION
Minority Teacher Incentive Program,"366,705","-66,007","300,698",OFFICE OF HIGHER EDUCATION
Governor's Scholarship,"37,363,944","-1,120,918","36,243,026",OFFICE OF HIGHER EDUCATION
TOTAL-General Fund,"41,604,805","-1,705,860","39,898,945",OFFICE OF HIGHER EDUCATION
TOTAL - ALL FUNDS,"41,604,805","-1,705,860","39,898,945",OFFICE OF HIGHER EDUCATION
GENERAL FUND,,,,UNIVERSITY OF CONNECTICUT
Operating Expenses,"207,699,685","-8,159,389","199,540,296",UNIVERSITY OF CONNECTICUT
Workers' Compensation Claims,"3,045,682","-1,416,647","1,629,035",UNIVERSITY OF CONNECTICUT
Next Generation Connecticut,"19,072,546","-19,072,546",0,UNIVERSITY OF CONNECTICUT
Kirklyn M. Kerr Grant Program,"100,000","-53,000","47,000",UNIVERSITY OF CONNECTICUT
TOTAL-General Fund,"229,917,913","-28,701,582","201,216,331",UNIVERSITY OF CONNECTICUT
TOTAL - ALL FUNDS,"229,917,913","-28,701,582","201,216,331",UNIVERSITY OF CONNECTICUT
GENERAL FUND,,,,UNIVERSITY OF CONNECTICUT HEALTH CENTER
Operating Expenses,"115,911,785","-4,534,960","111,376,825",UNIVERSITY OF CONNECTICUT HEALTH CENTER
AHEC,"406,723","-15,984","390,739",UNIVERSITY OF CONNECTICUT HEALTH CENTER
Workers' Compensation Claims,"6,910,804","1,085,973","7,996,777",UNIVERSITY OF CONNECTICUT HEALTH CENTER
Bioscience,"11,310,000","-11,310,000",0,UNIVERSITY OF CONNECTICUT HEALTH CENTER
TOTAL-General Fund,"134,539,312","-14,774,971","119,764,341",UNIVERSITY OF CONNECTICUT HEALTH CENTER
TOTAL - ALL FUNDS,"134,539,312","-14,774,971","119,764,341",UNIVERSITY OF CONNECTICUT HEALTH CENTER
GENERAL FUND,,,,TEACHERS' RETIREMENT BOARD
Personal Services,"1,691,365","-190,537","1,500,828",TEACHERS' RETIREMENT BOARD
Other Expenses,"490,868","-22,734","468,134",TEACHERS' RETIREMENT BOARD
Retirement Contributions,"1,012,162,000","278,267,000","1,290,429,000",TEACHERS' RETIREMENT BOARD
Retirees Health Service Cost,"14,566,860",0,"14,566,860",TEACHERS' RETIREMENT BOARD
Municipal Retiree Health Insurance Costs,"5,392,897",0,"5,392,897",TEACHERS' RETIREMENT BOARD
TOTAL-General Fund,"1,034,303,990","278,053,729","1,312,357,719",TEACHERS' RETIREMENT BOARD
TOTAL - ALL FUNDS,"1,034,303,990","278,053,729","1,312,357,719",TEACHERS' RETIREMENT BOARD
GENERAL FUND,,,,CONNECTICUT STATE COLLEGES AND UNIVERSITIES
Workers' Compensation Claims,"3,571,674","-243,313","3,328,361",CONNECTICUT STATE COLLEGES AND UNIVERSITIES
Charter Oak State College,"2,424,330","-119,761","2,304,569",CONNECTICUT STATE COLLEGES AND UNIVERSITIES
Community Tech College System,"161,446,565","-6,397,319","155,049,246",CONNECTICUT STATE COLLEGES AND UNIVERSITIES
Connecticut State University,"153,640,756","-11,280,328","142,360,428",CONNECTICUT STATE COLLEGES AND UNIVERSITIES
Board of Regents,"446,390","-30,710","415,680",CONNECTICUT STATE COLLEGES AND UNIVERSITIES
Developmental Services,"9,469,836","-651,524","8,818,312",CONNECTICUT STATE COLLEGES AND UNIVERSITIES
Outcomes-Based Funding Incentive,"1,662,925","-114,409","1,548,516",CONNECTICUT STATE COLLEGES AND UNIVERSITIES
TOTAL-General Fund,"332,662,476","-18,837,364","313,825,112",CONNECTICUT STATE COLLEGES AND UNIVERSITIES
TOTAL - ALL FUNDS,"332,662,476","-18,837,364","313,825,112",CONNECTICUT STATE COLLEGES AND UNIVERSITIES
GENERAL FUND,,,,DEPARTMENT OF CORRECTION
Personal Services,"399,926,993","-21,638,953","378,288,040",DEPARTMENT OF CORRECTION
Other Expenses,"71,015,325","-3,863,552","67,151,773",DEPARTMENT OF CORRECTION
Workers' Compensation Claims,"23,677,850","3,193,744","26,871,594",DEPARTMENT OF CORRECTION
Inmate Medical Services,"85,297,457","-8,892,132","76,405,325",DEPARTMENT OF CORRECTION
Board of Pardons and Paroles,"7,165,288","-741,494","6,423,794",DEPARTMENT OF CORRECTION
Program Evaluation,"254,669","-254,669",0,DEPARTMENT OF CORRECTION
Aid to Paroled and Discharged Inmates,"7,623","-4,623","3,000",DEPARTMENT OF CORRECTION
Legal Services To Prisoners,"773,446","23,554","797,000",DEPARTMENT OF CORRECTION
Volunteer Services,"137,180","-137,180",0,DEPARTMENT OF CORRECTION
Community Support Services,"34,803,726","-3,524,484","31,279,242",DEPARTMENT OF CORRECTION
TOTAL-General Fund,"623,059,557","-35,839,789","587,219,768",DEPARTMENT OF CORRECTION
TOTAL - ALL FUNDS,"623,059,557","-35,839,789","587,219,768",DEPARTMENT OF CORRECTION
GENERAL FUND,,,,DEPARTMENT OF CHILDREN AND FAMILIES
Personal Services,"273,254,796","-4,887,827","268,366,969",DEPARTMENT OF CHILDREN AND FAMILIES
Other Expenses,"30,636,026","-560,000","30,076,026",DEPARTMENT OF CHILDREN AND FAMILIES
Workers' Compensation Claims,"10,650,996","1,927,724","12,578,720",DEPARTMENT OF CHILDREN AND FAMILIES
Family Support Services,"913,974","23,106","937,080",DEPARTMENT OF CHILDREN AND FAMILIES
Homeless Youth,"2,329,087","-64,951","2,264,136",DEPARTMENT OF CHILDREN AND FAMILIES
Differential Response System,"7,748,997","597,389","8,346,386",DEPARTMENT OF CHILDREN AND FAMILIES
Regional Behavioral Health Consultation,"1,592,156","52,115","1,644,271",DEPARTMENT OF CHILDREN AND FAMILIES
Health Assessment and Consultation,"949,199","452,847","1,402,046",DEPARTMENT OF CHILDREN AND FAMILIES
Grants for Psychiatric Clinics for Children,"14,956,541","976,667","15,933,208",DEPARTMENT OF CHILDREN AND FAMILIES
Day Treatment Centers for Children,"6,740,978","467,315","7,208,293",DEPARTMENT OF CHILDREN AND FAMILIES
Juvenile Justice Outreach Services,"12,318,836","-414,106","11,904,730",DEPARTMENT OF CHILDREN AND FAMILIES
Child Abuse and Neglect Intervention,"9,199,620","3,430,502","12,630,122",DEPARTMENT OF CHILDREN AND FAMILIES
Community Based Prevention Programs,"7,631,690","224,512","7,856,202",DEPARTMENT OF CHILDREN AND FAMILIES
Family Violence Outreach and Counseling,"2,316,969","1,141,641","3,458,610",DEPARTMENT OF CHILDREN AND FAMILIES
Supportive Housing,"18,479,526","1,360,786","19,840,312",DEPARTMENT OF CHILDREN AND FAMILIES
No Nexus Special Education,"1,662,733","489,128","2,151,861",DEPARTMENT OF CHILDREN AND FAMILIES
Family Preservation Services,"5,808,601","240,973","6,049,574",DEPARTMENT OF CHILDREN AND FAMILIES
Substance Abuse Treatment,"9,696,273","120,023","9,816,296",DEPARTMENT OF CHILDREN AND FAMILIES
Child Welfare Support Services,"2,339,675","-420,900","1,918,775",DEPARTMENT OF CHILDREN AND FAMILIES
Board and Care for Children - Adoption,"96,346,170","759,238","97,105,408",DEPARTMENT OF CHILDREN AND FAMILIES
Board and Care for Children - Foster,"128,733,472","9,354,360","138,087,832",DEPARTMENT OF CHILDREN AND FAMILIES
Board and Care for Children - Short-term and Residential,"102,579,761","-6,135,762","96,443,999",DEPARTMENT OF CHILDREN AND FAMILIES
Individualized Family Supports,"9,696,350","-3,172,734","6,523,616",DEPARTMENT OF CHILDREN AND FAMILIES
Community Kidcare,"37,912,186","2,984,469","40,896,655",DEPARTMENT OF CHILDREN AND FAMILIES
Covenant to Care,"140,487","15,113","155,600",DEPARTMENT OF CHILDREN AND FAMILIES
Neighborhood Center,"207,047","-207,047",0,DEPARTMENT OF CHILDREN AND FAMILIES
TOTAL-General Fund,"794,842,146","8,754,581","803,596,727",DEPARTMENT OF CHILDREN AND FAMILIES
TOTAL - ALL FUNDS,"794,842,146","8,754,581","803,596,727",DEPARTMENT OF CHILDREN AND FAMILIES
GENERAL FUND,,,,JUDICIAL DEPARTMENT
Personal Services,"350,277,435","-39,396,136","310,881,299",JUDICIAL DEPARTMENT
Other Expenses,"62,021,594","-2,250,289","59,771,305",JUDICIAL DEPARTMENT
Forensic Sex Evidence Exams,"1,348,010",0,"1,348,010",JUDICIAL DEPARTMENT
Alternative Incarceration Program,"52,747,603","-5,274,760","47,472,843",JUDICIAL DEPARTMENT
"Justice Education Center, Inc.","466,217","-466,217",0,JUDICIAL DEPARTMENT
Juvenile Alternative Incarceration,"25,788,309","-5,104,851","20,683,458",JUDICIAL DEPARTMENT
Juvenile Justice Centers,"2,786,379","-2,786,379",0,JUDICIAL DEPARTMENT
Probate Court,"6,000,000","-1,550,000","4,450,000",JUDICIAL DEPARTMENT
Workers' Compensation Claims,"6,042,106",0,"6,042,106",JUDICIAL DEPARTMENT
Youthful Offender Services,"13,311,287","-2,865,732","10,445,555",JUDICIAL DEPARTMENT
Victim Security Account,"8,792",0,"8,792",JUDICIAL DEPARTMENT
Children of Incarcerated Parents,"544,503","-54,450","490,053",JUDICIAL DEPARTMENT
Legal Aid,"1,552,382",0,"1,552,382",JUDICIAL DEPARTMENT
Youth Violence Initiative,"1,925,318","-192,532","1,732,786",JUDICIAL DEPARTMENT
Youth Services Prevention,"3,187,174","-479,000","2,708,174",JUDICIAL DEPARTMENT
Children's Law Center,"102,717","-10,272","92,445",JUDICIAL DEPARTMENT
Juvenile Planning,"233,792","-23,379","210,413",JUDICIAL DEPARTMENT
TOTAL-General Fund,"528,343,618","-60,453,997","467,889,621",JUDICIAL DEPARTMENT
BANKING FUND,,,,JUDICIAL DEPARTMENT
Foreclosure Mediation Program,"6,350,389","-2,739,824","3,610,565",JUDICIAL DEPARTMENT
TOTAL-Banking Fund,"6,350,389","-2,739,824","3,610,565",JUDICIAL DEPARTMENT
CRIMINAL INJURIES COMPENSATION FUND,,,,JUDICIAL DEPARTMENT
Criminal Injuries Compensation,"2,934,088",0,"2,934,088",JUDICIAL DEPARTMENT
TOTAL-Criminal Injuries Compensation Fund,"2,934,088",0,"2,934,088",JUDICIAL DEPARTMENT
TOTAL - ALL FUNDS,"537,628,095","-63,193,821","474,434,274",JUDICIAL DEPARTMENT
GENERAL FUND,,,,PUBLIC DEFENDER SERVICES COMMISSION
Personal Services,"39,491,615","-476,285","39,015,330",PUBLIC DEFENDER SERVICES COMMISSION
Other Expenses,"1,336,440","-310,577","1,025,863",PUBLIC DEFENDER SERVICES COMMISSION
Assigned Counsel - Criminal,"21,454,202","895,859","22,350,061",PUBLIC DEFENDER SERVICES COMMISSION
Expert Witnesses,"3,153,478","47,044","3,200,522",PUBLIC DEFENDER SERVICES COMMISSION
Training And Education,"119,748","-29,748","90,000",PUBLIC DEFENDER SERVICES COMMISSION
TOTAL-General Fund,"65,555,483","126,293","65,681,776",PUBLIC DEFENDER SERVICES COMMISSION
TOTAL - ALL FUNDS,"65,555,483","126,293","65,681,776",PUBLIC DEFENDER SERVICES COMMISSION
GENERAL FUND,,,,DEBT SERVICE - STATE TREASURER
Debt Service,"1,765,932,976","215,161,041","1,981,094,017",DEBT SERVICE - STATE TREASURER
UConn 2000 - Debt Service,"172,057,219","17,469,034","189,526,253",DEBT SERVICE - STATE TREASURER
CHEFA Day Care Security,"5,500,000",0,"5,500,000",DEBT SERVICE - STATE TREASURER
Pension Obligation Bonds - TRB,"119,597,971","20,621,050","140,219,021",DEBT SERVICE - STATE TREASURER
TOTAL-General Fund,"2,063,088,166","253,251,125","2,316,339,291",DEBT SERVICE - STATE TREASURER
SPECIAL TRANSPORTATION FUND,,,,DEBT SERVICE - STATE TREASURER
Debt Service,"562,993,251","51,686,687","614,679,938",DEBT SERVICE - STATE TREASURER
TOTAL-Special Transportation Fund,"562,993,251","51,686,687","614,679,938",DEBT SERVICE - STATE TREASURER
TOTAL - ALL FUNDS,"2,626,081,417","304,937,812","2,931,019,229",DEBT SERVICE - STATE TREASURER
GENERAL FUND,,,,STATE COMPTROLLER - MISCELLANEOUS
Adjudicated Claims,0,0,0,STATE COMPTROLLER - MISCELLANEOUS
Nonfunctional - Change to Accruals,"13,392,147","-12,846,008","546,139",STATE COMPTROLLER - MISCELLANEOUS
TOTAL-General Fund,"13,392,147","-12,846,008","546,139",STATE COMPTROLLER - MISCELLANEOUS
SPECIAL TRANSPORTATION FUND,,,,STATE COMPTROLLER - MISCELLANEOUS
Nonfunctional - Change to Accruals,"1,629,447","-954,045","675,402",STATE COMPTROLLER - MISCELLANEOUS
TOTAL-Special Transportation Fund,"1,629,447","-954,045","675,402",STATE COMPTROLLER - MISCELLANEOUS
BANKING FUND,,,,STATE COMPTROLLER - MISCELLANEOUS
Nonfunctional - Change to Accruals,"95,178",0,"95,178",STATE COMPTROLLER - MISCELLANEOUS
TOTAL-Banking Fund,"95,178",0,"95,178",STATE COMPTROLLER - MISCELLANEOUS
INSURANCE FUND,,,,STATE COMPTROLLER - MISCELLANEOUS
Nonfunctional - Change to Accruals,"116,945",0,"116,945",STATE COMPTROLLER - MISCELLANEOUS
TOTAL-Insurance Fund,"116,945",0,"116,945",STATE COMPTROLLER - MISCELLANEOUS
CONSUMER COUNSEL/PUBLIC UTILITY FUND,,,,STATE COMPTROLLER - MISCELLANEOUS
Nonfunctional - Change to Accruals,"89,658",0,"89,658",STATE COMPTROLLER - MISCELLANEOUS
TOTAL-Consumer Counsel/Public Utility Fund,"89,658",0,"89,658",STATE COMPTROLLER - MISCELLANEOUS
WORKERS' COMPENSATION FUND,,,,STATE COMPTROLLER - MISCELLANEOUS
Nonfunctional - Change to Accruals,"72,298",0,"72,298",STATE COMPTROLLER - MISCELLANEOUS
TOTAL-Workers' Compensation Fund,"72,298",0,"72,298",STATE COMPTROLLER - MISCELLANEOUS
REGIONAL MARKET OPERATION FUND,,,,STATE COMPTROLLER - MISCELLANEOUS
Nonfunctional - Change to Accruals,"2,845",0,"2,845",STATE COMPTROLLER - MISCELLANEOUS
TOTAL-Regional Market Operation Fund,"2,845",0,"2,845",STATE COMPTROLLER - MISCELLANEOUS
TOTAL - ALL FUNDS,"15,398,518","-13,800,053","1,598,465",STATE COMPTROLLER - MISCELLANEOUS
GENERAL FUND,,,,STATE COMPTROLLER - FRINGE BENEFITS
Unemployment Compensation,"6,348,001","1,277,600","7,625,601",STATE COMPTROLLER - FRINGE BENEFITS
State Employees Retirement Contributions,"1,124,661,963","77,509,720","1,202,171,683",STATE COMPTROLLER - FRINGE BENEFITS
Higher Education Alternative Retirement System,"4,924,234","-4,923,234","1,000",STATE COMPTROLLER - FRINGE BENEFITS
Pensions and Retirements - Other Statutory,"1,760,804","-154,008","1,606,796",STATE COMPTROLLER - FRINGE BENEFITS
Judges and Compensation Commissioners Retirement,"19,163,487","6,294,423","25,457,910",STATE COMPTROLLER - FRINGE BENEFITS
Insurance - Group Life,"7,867,871","119,129","7,987,000",STATE COMPTROLLER - FRINGE BENEFITS
Employers Social Security Tax,"227,723,020","-22,399,200","205,323,820",STATE COMPTROLLER - FRINGE BENEFITS
State Employees Health Service Cost,"693,865,044","-14,263,056","679,601,988",STATE COMPTROLLER - FRINGE BENEFITS
Retired State Employees Health Service Cost,"731,109,000","53,790,000","784,899,000",STATE COMPTROLLER - FRINGE BENEFITS
Tuition Reimbursement - Training and Travel,0,"115,000","115,000",STATE COMPTROLLER - FRINGE BENEFITS
Other Post Employment Benefits,0,"114,000,000","114,000,000",STATE COMPTROLLER - FRINGE BENEFITS
TOTAL-General Fund,"2,817,423,424","211,366,374","3,028,789,798",STATE COMPTROLLER - FRINGE BENEFITS
SPECIAL TRANSPORTATION FUND,,,,STATE COMPTROLLER - FRINGE BENEFITS
Unemployment Compensation,"305,000","-100,000","205,000",STATE COMPTROLLER - FRINGE BENEFITS
State Employees Retirement Contributions,"129,227,978","4,902,022","134,130,000",STATE COMPTROLLER - FRINGE BENEFITS
Insurance - Group Life,"285,063","-10,063","275,000",STATE COMPTROLLER - FRINGE BENEFITS
Employers Social Security Tax,"18,178,987","-2,351,400","15,827,587",STATE COMPTROLLER - FRINGE BENEFITS
State Employees Health Service Cost,"56,549,838","-10,005,232","46,544,606",STATE COMPTROLLER - FRINGE BENEFITS
Other Post Employment Benefits,0,"6,000,000","6,000,000",STATE COMPTROLLER - FRINGE BENEFITS
TOTAL-Special Transportation Fund,"204,546,866","-1,564,673","202,982,193",STATE COMPTROLLER - FRINGE BENEFITS
TOTAL - ALL FUNDS,"3,021,970,290","209,801,701","3,231,771,991",STATE COMPTROLLER - FRINGE BENEFITS
GENERAL FUND,,,,RESERVE FOR SALARY ADJUSTMENTS
Reserve For Salary Adjustments,"18,473,255","298,577,508","317,050,763",RESERVE FOR SALARY ADJUSTMENTS
TOTAL-General Fund,"18,473,255","298,577,508","317,050,763",RESERVE FOR SALARY ADJUSTMENTS
SPECIAL TRANSPORTATION FUND,,,,RESERVE FOR SALARY ADJUSTMENTS
Reserve For Salary Adjustments,"7,301,186","-5,000,000","2,301,186",RESERVE FOR SALARY ADJUSTMENTS
TOTAL-Special Transportation Fund,"7,301,186","-5,000,000","2,301,186",RESERVE FOR SALARY ADJUSTMENTS
TOTAL - ALL FUNDS,"25,774,441","293,577,508","319,351,949",RESERVE FOR SALARY ADJUSTMENTS
GENERAL FUND,,,,ADMINISTRATIVE SERVICES
Workers' Compensation Claims,"8,105,530","-500,000","7,605,530",ADMINISTRATIVE SERVICES
TOTAL-General Fund,"8,105,530","-500,000","7,605,530",ADMINISTRATIVE SERVICES
SPECIAL TRANSPORTATION FUND,,,,ADMINISTRATIVE SERVICES
Workers' Compensation Claims,"7,223,297","-500,000","6,723,297",ADMINISTRATIVE SERVICES
TOTAL-Special Transportation Fund,"7,223,297","-500,000","6,723,297",ADMINISTRATIVE SERVICES
TOTAL - ALL FUNDS,"15,328,827","-1,000,000","14,328,827",ADMINISTRATIVE SERVICES
GENERAL FUND,,,,STATEWIDE - LAPSES
Unallocated Lapse,"-94,476,192","94,476,192",0,STATEWIDE - LAPSES
Unallocated Lapse - Legislative,"-3,028,105","3,028,105",0,STATEWIDE - LAPSES
Unallocated Lapse - Judicial,"-7,400,672","7,400,672",0,STATEWIDE - LAPSES
General Lapse - Judicial,"-15,075,000","15,075,000",0,STATEWIDE - LAPSES
Municipal Opportunities and Regional Efficiencies Program,"-20,000,000","20,000,000",0,STATEWIDE - LAPSES
Targeted Savings,"-68,848,968","68,848,968",0,STATEWIDE - LAPSES
Other Allocated Lapses,0,0,0,STATEWIDE - LAPSES
Arts and Tourism Lapse,"-500,000","500,000",0,STATEWIDE - LAPSES
Labor - Management Savings,0,"-700,000,000","-700,000,000",STATEWIDE - LAPSES
TOTAL-General Fund,"-209,328,937","-490,671,063","-700,000,000",STATEWIDE - LAPSES
SPECIAL TRANSPORTATION FUND,,,,STATEWIDE - LAPSES
Unallocated Lapse,"-12,000,000","12,000,000",0,STATEWIDE - LAPSES
Other Allocated Lapses,0,0,0,STATEWIDE - LAPSES
TOTAL-Special Transportation Fund,"-12,000,000","12,000,000",0,STATEWIDE - LAPSES
TOTAL - ALL FUNDS,"-221,328,937","-478,671,063","-700,000,000",STATEWIDE - LAPSES
